% ESTAÇÃO A - JANEIRO DE 2008
% Dados hidrográficos-Quadratura # 16/01/08
% Serie com 26 perfis # início 05:30 h até 18:00 h
%    Prof. (m)        Temp             Sal            Dens
 -9.0000000e+000  2.7846000e+001  3.5678000e+001  1.0229572e+003
 -9.5000000e+000  2.7842000e+001  3.5679000e+001  1.0229592e+003
 -1.0000000e+001  2.7800000e+001  3.5696000e+001  1.0229857e+003
 -1.0500000e+001  2.7794000e+001  3.5701000e+001  1.0229914e+003
 -1.1000000e+001  2.7791000e+001  3.5704000e+001  1.0229947e+003
 -1.1500000e+001  2.7790000e+001  3.5705000e+001  1.0229958e+003
 -1.2000000e+001  2.7790000e+001  3.5705000e+001  1.0229958e+003
 -1.2500000e+001  2.7783000e+001  3.5714000e+001  1.0230048e+003
 -1.2880000e+001  2.7783000e+001  3.5714000e+001  1.0230057e+003
  0.0000000e+000  2.8669000e+001  3.5243000e+001  1.0223500e+003
 -5.0000000e-001  2.8669000e+001  3.5243000e+001  1.0223592e+003
 -1.0000000e+000  2.8664000e+001  3.5250000e+001  1.0223661e+003
 -1.5000000e+000  2.8611000e+001  3.5250000e+001  1.0223837e+003
 -2.0000000e+000  2.8642000e+001  3.5265000e+001  1.0223846e+003
 -2.5000000e+000  2.8648000e+001  3.5251000e+001  1.0223721e+003
 -3.0000000e+000  2.8639000e+001  3.5259000e+001  1.0223811e+003
 -3.5000000e+000  2.8532000e+001  3.5266000e+001  1.0224219e+003
 -4.0000000e+000  2.8492000e+001  3.5334000e+001  1.0224862e+003
 -4.5000000e+000  2.8218000e+001  3.5485000e+001  1.0226901e+003
 -5.0000000e+000  2.8268000e+001  3.5608000e+001  1.0227661e+003
 -5.5000000e+000  2.8048000e+001  3.5604000e+001  1.0228354e+003
 -6.0000000e+000  2.8005000e+001  3.5639000e+001  1.0228758e+003
 -6.5000000e+000  2.7965000e+001  3.5636000e+001  1.0228867e+003
 -7.0000000e+000  2.7965000e+001  3.5636000e+001  1.0228867e+003
 -7.5000000e+000  2.7934000e+001  3.5624000e+001  1.0228878e+003
 -8.0000000e+000  2.7911000e+001  3.5626000e+001  1.0228968e+003
 -8.5000000e+000  2.7890000e+001  3.5633000e+001  1.0229089e+003
 -9.0000000e+000  2.7883000e+001  3.5636000e+001  1.0229135e+003
 -9.5000000e+000  2.7881000e+001  3.5639000e+001  1.0229164e+003
 -1.0000000e+001  2.7871000e+001  3.5647000e+001  1.0229257e+003
 -1.0500000e+001  2.7851000e+001  3.5657000e+001  1.0229397e+003
 -1.1000000e+001  2.7831000e+001  3.5673000e+001  1.0229583e+003
 -1.1500000e+001  2.7830000e+001  3.5674000e+001  1.0229594e+003
 -1.2000000e+001  2.7827000e+001  3.5676000e+001  1.0229619e+003
 -1.2500000e+001  2.7822000e+001  3.5679000e+001  1.0229658e+003
 -1.2860000e+001  2.7822000e+001  3.5679000e+001  1.0229658e+003
  0.0000000e+000  2.8782000e+001  3.5000000e+001  1.0221312e+003
 -5.0000000e-001  2.8782000e+001  3.5015000e+001  1.0221503e+003
 -1.0000000e+000  2.8783000e+001  3.5028000e+001  1.0221598e+003
 -1.5000000e+000  2.8775000e+001  3.5046000e+001  1.0221759e+003
