% Início da serie dia 22/08às 08:00 horas
% Caravelas - Estação A - Quadratura 
  1.4500000e+001 -5.0000000e-001  2.4909684e+001  3.5734883e+001  1.0239540e+003  2.3426564e-001  1.1464322e-002
  1.4500000e+001 -6.0000000e-001  2.4947237e+001  3.6062218e+001  1.0241957e+003  1.9518925e-001 -7.8743534e-003
  1.4500000e+001 -7.0000000e-001  2.4940245e+001  3.6083717e+001  1.0242197e+003  1.5131630e-001 -8.9161192e-003
  1.4500000e+001 -8.0000000e-001  2.4939944e+001  3.6122271e+001  1.0242545e+003  8.9095565e-002 -1.6551968e-002
  1.4500000e+001 -9.0000000e-001  2.4943155e+001  3.6222167e+001  1.0243347e+003  4.4719174e-002 -1.1429558e-003
  1.4500000e+001 -1.0000000e+000  2.4950000e+001  3.6250000e+001  1.0243592e+003  0.0000000e+000  0.0000000e+000
  1.5000000e+001  0.0000000e+000  2.4840000e+001  3.4320000e+001  1.0228776e+003  1.6935310e-001 -1.4816476e-002
  1.5000000e+001 -1.0000000e-001  2.5046794e+001  3.4029179e+001  1.0226010e+003  1.7144159e-001 -1.9213780e-002
  1.5000000e+001 -2.0000000e-001  2.5054308e+001  3.4082608e+001  1.0226446e+003  2.1928677e-001 -2.6049354e-002
  1.5000000e+001 -3.0000000e-001  2.4972542e+001  3.4648194e+001  1.0231023e+003  2.7995802e-001  9.7684532e-003
  1.5000000e+001 -4.0000000e-001  2.4906304e+001  3.5158640e+001  1.0235138e+003  2.7806713e-001 -5.0555990e-003
  1.5000000e+001 -5.0000000e-001  2.4899710e+001  3.5827974e+001  1.0240274e+003  2.3057799e-001 -2.0450193e-002
  1.5000000e+001 -6.0000000e-001  2.4915493e+001  3.5967977e+001  1.0241341e+003  1.7148492e-001 -2.3049733e-002
  1.5000000e+001 -7.0000000e-001  2.4930699e+001  3.6050572e+001  1.0241975e+003  1.2864338e-001 -2.3186142e-002
  1.5000000e+001 -8.0000000e-001  2.4930064e+001  3.6111193e+001  1.0242491e+003  9.6892871e-002 -2.6249160e-002
  1.5000000e+001 -9.0000000e-001  2.4929413e+001  3.6192132e+001  1.0243161e+003  3.1553081e-002 -3.0724794e-002
  1.5000000e+001 -1.0000000e+000  2.4940000e+001  3.6240000e+001  1.0243546e+003  0.0000000e+000  0.0000000e+000
  1.5500000e+001  0.0000000e+000  2.4500000e+001  3.4150000e+001  1.0228512e+003  6.8205905e-002 -1.5746574e-002
  1.5500000e+001 -1.0000000e-001  2.4923236e+001  3.3904189e+001  1.0225439e+003  7.2964306e-002 -1.9129172e-002
  1.5500000e+001 -2.0000000e-001  2.4962967e+001  3.3957042e+001  1.0225774e+003  1.4195792e-001  5.0284985e-003
  1.5500000e+001 -3.0000000e-001  2.4944326e+001  3.4630339e+001  1.0230973e+003  2.0051075e-001  1.0859748e-002
  1.5500000e+001 -4.0000000e-001  2.4898422e+001  3.5620904e+001  1.0238656e+003  1.8405870e-001 -1.0978993e-002
  1.5500000e+001 -5.0000000e-001  2.4900690e+001  3.5906030e+001  1.0240861e+003  1.0095057e-001  1.0919294e-002
  1.5500000e+001 -6.0000000e-001  2.4907152e+001  3.5977773e+001  1.0241440e+003  6.1822823e-002 -2.2438162e-003
  1.5500000e+001 -7.0000000e-001  2.4900571e+001  3.6029754e+001  1.0241908e+003  1.7773021e-002  1.1542555e-002
  1.5500000e+001 -8.0000000e-001  2.4908757e+001  3.6098537e+001  1.0242459e+003 -1.4547565e-002  1.1229955e-002
  1.5500000e+001 -9.0000000e-001  2.4919346e+001  3.6141489e+001  1.0242807e+003 -5.0941379e-002  1.2188629e-003
  1.5500000e+001 -1.0000000e+000  2.4940000e+001  3.6490000e+001  1.0245436e+003  0.0000000e+000  0.0000000e+000
  1.6000000e+001  0.0000000e+000  2.3880000e+001  3.3680000e+001  1.0226793e+003  4.9513403e-002  6.9586550e-003
  1.6000000e+001 -1.0000000e-001  2.4920838e+001  3.4032622e+001  1.0226416e+003  4.3182256e-002  1.0428994e-002
  1.6000000e+001 -2.0000000e-001  2.4970241e+001  3.4323682e+001  1.0228521e+003  1.4523715e-001  2.5517467e-002
  1.6000000e+001 -3.0000000e-001  2.4955885e+001  3.4657193e+001  1.0231140e+003  1.5043141e-001 -5.2900760e-003
  1.6000000e+001 -4.0000000e-001  2.4896936e+001  3.5645538e+001  1.0238846e+003  7.8355184e-002 -4.4561406e-002
  1.6000000e+001 -5.0000000e-001  2.4900318e+001  3.5925268e+001  1.0241006e+003  5.6455543e-002 -2.0828614e-002
  1.6000000e+001 -6.0000000e-001  2.4905158e+001  3.5980472e+001  1.0241464e+003  1.3897117e-002  1.3619435e-003
  1.6000000e+001 -7.0000000e-001  2.4909913e+001  3.6030134e+001  1.0241880e+003 -1.1179256e-003 -8.9739161e-003
  1.6000000e+001 -8.0000000e-001  2.4910316e+001  3.6044422e+001  1.0242043e+003 -5.4692042e-002 -1.0201012e-002
  1.6000000e+001 -9.0000000e-001  2.4921394e+001  3.6188321e+001  1.0243152e+003 -9.5519550e-002 -8.9956278e-003
  1.6000000e+001 -1.0000000e+000  2.4940000e+001  3.6390000e+001  1.0244677e+003  0.0000000e+000  0.0000000e+000
  1.6500000e+001  0.0000000e+000  2.4700000e+001  3.4250000e+001  1.0228669e+003  3.9125904e-002 -8.3164676e-003
  1.6500000e+001 -1.0000000e-001  2.4918196e+001  3.4029696e+001  1.0226402e+003  2.5201010e-002  2.4194438e-003
  1.6500000e+001 -2.0000000e-001  2.4961773e+001  3.4110985e+001  1.0226939e+003  1.4953049e-001  4.7221645e-003
  1.6500000e+001 -3.0000000e-001  2.4983359e+001  3.4620534e+001  1.0230779e+003  1.7810064e-001 -3.9694640e-002
  1.6500000e+001 -4.0000000e-001  2.4879231e+001  3.5612762e+001  1.0238650e+003  1.0552472e-001 -3.1145258e-002
  1.6500000e+001 -5.0000000e-001  2.4889474e+001  3.5866428e+001  1.0240592e+003  2.9864914e-002 -4.5848861e-003
  1.6500000e+001 -6.0000000e-001  2.4902996e+001  3.5968055e+001  1.0241375e+003 -1.0971554e-002 -8.5378658e-003
  1.6500000e+001 -7.0000000e-001  2.4919298e+001  3.6069339e+001  1.0242147e+003 -4.0337234e-002  5.3511550e-003
  1.6500000e+001 -8.0000000e-001  2.4930117e+001  3.6137770e+001  1.0242686e+003 -8.5486600e-002  2.5714221e-003
  1.6500000e+001 -9.0000000e-001  2.4940025e+001  3.6270421e+001  1.0243714e+003 -1.2471870e-001 -1.7162257e-002
  1.6500000e+001 -1.0000000e+000  2.4940000e+001  3.6440000e+001  1.0245052e+003  0.0000000e+000  0.0000000e+000
  1.7000000e+001  0.0000000e+000  2.4780000e+001  3.4110000e+001  1.0227370e+003  5.7063391e-002 -1.8541020e-002
  1.7000000e+001 -1.0000000e-001  2.4933726e+001  3.4084710e+001  1.0226770e+003  4.9964768e-002 -2.0667192e-003
  1.7000000e+001 -2.0000000e-001  2.4961503e+001  3.4147757e+001  1.0227218e+003  1.0721948e-001 -4.6245797e-002
